date,mkt_cap
13/11/27,206616.5371
13/11/29,205644.3765
13/12/2,206292.4836
13/12/3,202339.0304
13/12/4,202663.0839
13/12/5,202533.4625
13/12/6,204412.973
13/12/9,204672.2159
13/12/10,203116.7589
13/12/11,198644.82
13/12/12,196052.3917
13/12/13,196052.3917
13/12/16,196052.3917
13/12/17,195339.4739
13/12/18,199422.5485
13/12/19,199033.6843
13/12/20,196052.3917
13/12/23,196700.4988
13/12/24,196311.6345
13/12/26,197996.7129
13/12/27,198580.0093
13/12/30,198904.0629
13/12/31,196001.37
14/1/2,194913.54
14/1/3,195297.48
14/1/6,195489.45
14/1/7,196705.26
14/1/8,198049.05
14/1/9,197921.07
14/1/10,196385.31
14/1/13,195425.46
14/1/14,198369
14/1/15,199520.82
14/1/16,199456.83
14/1/17,198944.91
14/1/21,199840.77
14/1/22,200096.73
14/1/23,198432.99
14/1/24,192545.91
14/1/27,189794.34
14/1/28,194657.58
14/1/29,192673.89
14/1/30,197217.18
14/1/31,194529.6
14/2/3,195809.4
14/2/4,201184.56
14/2/5,196129.35
14/2/6,197345.16
14/2/7,199776.78
14/2/10,201376.53
14/2/11,204000.12
14/2/12,202272.39
14/2/13,202848.3
14/2/14,204384.06
14/2/18,204000.12
14/2/19,201440.52
14/2/20,201888.45
14/2/21,200806.8299
14/2/24,204189.7803
14/2/25,203551.4878
14/2/26,204528.9927
14/2/27,206063.4397
14/2/28,205296.2162
14/3/3,204465.0574
14/3/4,209004.463
14/3/5,209388.0748
14/3/6,207533.9513
14/3/7,207342.1455
14/3/10,207086.4043
14/3/11,207278.2102
14/3/12,204465.0574
14/3/13,198966.6225
14/3/14,199669.9107
14/3/17,200884.6812
14/3/18,204145.381
14/3/19,202738.8046
14/3/20,204017.5104
14/3/21,205743.7632
14/3/24,201332.2282
14/3/25,203442.0928
14/3/26,205743.7632
14/3/27,205232.2809
14/3/28,203825.7045
14/3/31,205360.1515
14/4/1,204273.2516
14/4/2,206447.0514
14/4/3,207150.3396
14/4/4,205615.8926
14/4/7,199478.1048
14/4/8,197368.2402
14/4/9,199669.9107
14/4/10,195705.9227
14/4/11,190910.7759
14/4/14,190974.7112
14/4/15,191102.5818
14/4/16,192381.2876
14/4/17,193404.2522
14/4/21,197304.3049
14/4/22,198199.399
14/4/23,197687.9167
14/4/24,196345.2756
