date,mkt_cap
11/5/18,27440
11/5/19,27840
11/5/20,27440
11/5/23,27320
11/5/24,27200
11/5/25,27080
11/5/26,27320
11/5/27,27330
11/5/31,27580
11/6/1,26970
11/6/2,26930
11/6/3,26360
11/6/6,26790
11/6/7,26930
11/6/8,26790
11/6/9,26630
11/6/10,26320
11/6/13,26160
11/6/14,26440
11/6/15,26130
11/6/16,26340
11/6/17,26570
11/6/20,26860
11/6/21,27530
11/6/22,27950
11/6/23,28280
11/6/24,28000
11/6/27,28480
11/6/28,29420
11/6/29,29560
11/6/30,29600
11/7/1,30130
11/7/5,30410
11/7/6,30020
11/7/7,29940
11/7/8,29960
11/7/11,29510
11/7/12,29380
11/7/13,29390
11/7/14,29060
11/7/15,29560
11/7/18,29260
11/7/19,29940
11/7/20,29580
11/7/21,29990
11/7/22,29960
11/7/25,30000
11/7/26,29840
11/7/27,28940
11/7/28,29690
11/7/29,29910
11/8/1,29690
11/8/2,28810
11/8/3,29310
11/8/4,27530
11/8/5,27400
11/8/8,25400
11/8/9,26890
11/8/10,25930
11/8/11,27690
11/8/12,27870
11/8/15,28670
11/8/16,29020
11/8/17,28870
11/8/18,25930
11/8/19,26190
11/8/22,26030
11/8/23,27400
11/8/24,27880
11/8/25,27170
11/8/26,27900
11/8/29,28390
11/8/30,28720
11/8/31,28810
11/9/1,28490
11/9/2,27970
11/9/6,28170
11/9/7,29230
11/9/8,29040
11/9/9,27840
11/9/12,28090
11/9/13,28490
11/9/14,28760
11/9/15,29150
11/9/16,29250
11/9/19,30710
11/9/20,30650
11/9/21,29770
11/9/22,28800
11/9/23,28880
11/9/26,29460
11/9/27,29730
11/9/28,29420
11/9/29,28480
11/9/30,27820
11/10/3,26840
11/10/4,27620
11/10/5,28210
11/10/6,28540
11/10/7,29110
11/10/10,30340
11/10/11,30640
11/10/12,30780
11/10/13,30460
11/10/14,31300
11/10/17,30520
11/10/18,31470
11/10/19,30340
11/10/20,30390
11/10/21,31210
11/10/24,31540
11/10/25,30600
11/10/26,30690
11/10/27,31930
11/10/28,31510
11/10/31,31410
11/11/1,30570
11/11/2,30530
11/11/3,30690
11/11/4,32760
11/11/7,32790
11/11/8,32890
11/11/9,31840
11/11/10,32270
11/11/11,33050
11/11/14,32530
11/11/15,32820
11/11/16,32070
11/11/17,31330
11/11/18,31320
11/11/21,31070
11/11/22,31520
11/11/23,30750
11/11/25,30440
11/11/28,31190
11/11/29,31460
11/11/30,32410
11/12/1,32700
11/12/2,32940
11/12/5,33160
11/12/6,32810
11/12/7,32920
11/12/8,32150
11/12/9,32980
11/12/12,33010
11/12/13,32720
11/12/14,32330
11/12/15,32560
11/12/16,32620
11/12/19,32730
11/12/20,33810
11/12/21,33940
11/12/22,33760
11/12/23,34090
11/12/27,34470
11/12/28,34350
11/12/29,34850
11/12/30,34520
12/1/3,34080
12/1/4,34750
12/1/5,34890
12/1/6,35160
12/1/9,35060
12/1/10,35240
12/1/11,35460
12/1/12,35690
12/1/13,35510
12/1/17,35770
12/1/18,36020
12/1/19,36000
12/1/20,36100
12/1/23,35490
12/1/24,35720
12/1/25,35990
12/1/26,36420
12/1/27,36050
12/1/30,36520
12/1/31,36100
12/2/1,36340
12/2/2,35910
12/2/3,36400
12/2/6,36380
12/2/7,36470
12/2/8,36710
12/2/9,37070
12/2/10,36780
12/2/13,37100
12/2/14,37010
12/2/15,36520
12/2/16,36550
12/2/17,36500
12/2/21,36360
12/2/22,36410
12/2/23,36510
12/2/24,36390
12/2/27,36340
12/2/28,36850
12/2/29,36590
12/3/1,36700
12/3/2,36830
12/3/5,36950
12/3/6,36410
12/3/7,37290
12/3/8,37950
12/3/9,39060
12/3/12,38510
12/3/13,39430
12/3/14,39690
12/3/15,39980
12/3/16,40090
12/3/19,40340
12/3/20,40480
12/3/21,40540
12/3/22,41590
12/3/23,41700
12/3/26,42120
12/3/27,42390
12/3/28,42210
12/3/29,41990
12/3/30,42110
12/4/2,42950
12/4/3,43130
12/4/4,43170
12/4/5,44090
12/4/9,43520
12/4/10,43030
12/4/11,44940
12/4/12,45950
12/4/13,46740
12/4/16,45210
12/4/17,44460
12/4/18,45720
12/4/19,44570
12/4/20,44840
12/4/23,44380
12/4/24,44000
12/4/25,45130
12/4/26,46010
12/4/27,43560
12/4/30,43520
12/5/1,43740
12/5/2,43930
12/5/3,42970
12/5/4,42140
12/5/7,42080
12/5/8,41100
12/5/9,41030
12/5/10,41600
12/5/11,41730
12/5/14,40710
12/5/15,40460
12/5/16,40220
12/5/17,39190
12/5/18,39090
12/5/21,40730
12/5/22,40480
12/5/23,41940
12/5/24,41540
12/5/25,41380
12/5/29,42160
12/5/30,41510
12/5/31,41630
12/6/1,39560
12/6/4,40880
12/6/5,39750
12/6/6,40560
12/6/7,40530
12/6/8,40650
12/6/11,40071.555
12/6/12,40230.84
12/6/13,38888.295
12/6/14,39692.305
12/6/15,39851.59
12/6/18,41095.53
12/6/19,41808.52
12/6/20,42202.94
12/6/21,41012.095
12/6/22,41444.44
12/6/25,40424.256
12/6/26,40921.075
12/6/27,40010.875
12/6/28,39510.265
12/6/29,40443.22
12/7/2,40109.842
12/7/3,39464.012
12/7/5,39813.52
12/7/6,39486.806
12/7/9,39805.922
12/7/10,39767.932
12/7/11,39631.168
12/7/12,40026.264
12/7/13,40732.878
12/7/16,40193.42
12/7/17,40824.054
12/7/18,40497.34
12/7/19,41181.16
12/7/20,39479.208
12/7/23,38445.88
12/7/24,38354.704
12/7/25,38311.6
12/7/26,39827.8
12/7/27,36077.2
12/7/30,35628.8
12/7/31,34412.8
12/8/1,33272.8
12/8/2,32801.6
12/8/3,33371.6
12/8/6,33044.8
12/8/7,34435.6
12/8/8,34420.4
12/8/9,34283.6
12/8/10,34633.2
12/8/13,35043.6
12/8/14,35286.8
12/8/15,36556
12/8/16,36784
12/8/17,36647.2
12/8/20,36518
12/8/21,36548.4
12/8/22,36571.2
12/8/23,36404
12/8/24,37012
12/8/27,37346.4
12/8/28,37513.6
12/8/29,37369.2
12/8/30,37779.6
12/8/31,37703.6
12/9/4,37627.6
12/9/5,37848
12/9/6,38638.4
12/9/7,38889.2
12/9/10,38630.8
12/9/11,38554.8
12/9/12,38889.2
12/9/13,39307.2
12/9/14,38349.6
12/9/17,37741.6
12/9/18,37430
12/9/19,38084.36
12/9/20,38904.4
12/9/21,38813.2
12/9/24,38881.6
12/9/25,38399.0015
12/9/26,38076
12/9/27,38786.6
12/9/28,38539.6
12/10/1,37573.6485
12/10/2,36940.49
12/10/3,37082.857
12/10/4,36790.63
12/10/5,36520.882
12/10/8,36535.868
12/10/9,35479.355
12/10/10,35179.635
12/10/11,35336.988
12/10/12,35351.974
12/10/15,35719.131
12/10/16,36685.728
12/10/17,36258.627
12/10/18,35524.313
12/10/19,34231.7705
12/10/22,33943.29
12/10/23,33697.145
12/10/24,33914.3655
12/10/25,34655.125
12/10/26,34370.391
12/10/31,34392.87
12/11/1,34932.1412
12/11/2,38094.412
12/11/5,38221.793
12/11/6,38746.3764
12/11/7,38821.0082
12/11/8,38109.398
12/11/9,37893.856
12/11/12,37685.648
12/11/13,37410.516
12/11/14,36317.424
12/11/15,36012.548
12/11/16,36257.936
12/11/19,36986.664
12/11/20,37224.616
12/11/21,37559.236
12/11/23,38064.884
12/11/26,37841.804
12/11/27,37336.3047
12/11/28,38198.732
12/11/29,38518.48
12/11/30,38570.532
12/12/3,38664.9518
12/12/4,38165.3383
12/12/5,37918.9658
12/12/6,40091.5232
12/12/7,40046.7282
12/12/10,39539.0516
12/12/11,39710.7657
12/12/12,40015.5957
12/12/13,39703.2999
12/12/14,39837.6849
12/12/17,40748.5165
12/12/18,40569.3365
12/12/19,40517.0757
12/12/20,40472.2807
12/12/21,40016.8649
12/12/24,40084.0574
12/12/26,39665.9707
12/12/27,39748.0949
12/12/28,39300.1449
12/12/31,40163.507
13/1/2,41189.5
13/1/3,41466.593
13/1/4,41706.241
13/1/7,41729.0091
13/1/8,41653.818
13/1/9,40912.407
13/1/10,40859.5464
13/1/11,41211.6547
13/1/14,40956.938
13/1/15,40814.5964
13/1/16,40717.2047
13/1/17,40829.5797
13/1/18,41061.8213
13/1/22,41196.6713
13/1/23,40806.878
13/1/24,40889.301
13/1/25,42567.733
13/1/28,41975.786
13/1/29,41661.08
13/1/30,41960.8
13/1/31,42050.716
13/2/1,42605.198
13/2/4,42028.237
13/2/5,42110.66
13/2/6,41998.265
13/2/7,41855.898
13/2/8,42238.041
13/2/11,42065.702
13/2/12,42155.618
13/2/13,41833.419
13/2/14,41623.615
13/2/15,40716.962
13/2/19,40799.385
13/2/20,39945.183
13/2/21,39975.155
13/2/22,40589.581
13/2/25,39870.253
13/2/26,39922.704
13/2/27,40889.301
13/2/28,41099.105
13/3/1,41114.091
13/3/4,41736.01
13/3/5,42342.943
13/3/6,42785.03
13/3/7,43646.725
13/3/8,43961.431
13/3/11,43916.473
13/3/12,43669.204
13/3/13,43897.7405
13/3/14,43219.624
13/3/15,43204.638
13/3/18,42657.649
13/3/19,42582.719
13/3/20,43032.299
13/3/21,42747.565
13/3/22,42994.834
13/3/25,42477.817
13/3/26,42747.565
13/3/27,42642.663
13/3/28,42672.635
13/4/1,42555.821
13/4/2,43595.958
13/4/3,43176.91
13/4/4,43483.713
13/4/5,43251.74
13/4/8,43491.196
13/4/9,42959.903
13/4/10,43251.74
13/4/11,43831.674
13/4/12,44217.047
13/4/15,43184.393
13/4/16,43820.448
13/4/17,43528.611
13/4/18,43191.876
13/4/19,43704.4615
13/4/22,43880.312
13/4/23,44441.537
13/4/24,44794.721
13/4/25,45296.35
13/4/26,44922
13/4/29,45356.246
13/4/30,45550.908
13/5/1,45026.818
13/5/2,45206.506
13/5/3,46322.069
13/5/6,46778.776
13/5/7,46561.653
13/5/8,46726.367
13/5/9,46688.932
13/5/10,47240.7239
13/5/13,47033.334
13/5/14,47557.424
13/5/15,47969.209
13/5/16,47579.885
13/5/17,48014.131
13/5/20,47789.521
13/5/21,48103.975
13/5/22,48029.105
13/5/23,47557.424
13/5/24,47437.632
13/5/28,48111.462
13/5/29,47639.781
13/5/30,47519.989
13/5/31,47272.918
13/6/3,47512.502
13/6/4,47415.171
13/6/5,46673.958
13/6/6,47183.074
13/6/7,48695.448
13/6/10,49496.557
13/6/11,48979.954
13/6/12,48253.715
13/6/13,49391.739
13/6/14,49114.72
13/6/17,49436.661
13/6/18,50234.0265
13/6/19,49721.167
13/6/20,48830.214
13/6/21,48433.403
13/6/24,47924.287
13/6/25,48470.838
13/6/26,49264.46
13/6/27,49182.103
13/6/28,49047.337
13/7/1,49752.864
13/7/2,50165.969
13/7/3,50549.03
13/7/5,50864.492
13/7/8,51292.619
13/7/9,51172.443
13/7/10,51149.91
13/7/11,52081.274
13/7/12,52366.692
13/7/15,52321.626
13/7/16,52216.472
13/7/17,51225.02
13/7/18,51435.328
13/7/19,51668.169
13/7/22,51840.922
13/7/23,50819.426
13/7/24,50050.754
13/7/25,51222.938
13/7/26,55122.704
13/7/29,54438.93
13/7/30,54048.202
13/7/31,53566.5546
13/8/1,55212.872
13/8/2,55776.422
13/8/5,55581.058
13/8/6,54701.92
13/8/7,54243.566
13/8/8,54807.116
13/8/9,54701.92
13/8/12,54799.602
13/8/13,54581.696
13/8/14,53988.09
13/8/15,53154.036
13/8/16,53131.494
13/8/19,52815.906
13/8/20,53093.924
13/8/21,53133.7467
13/8/22,54025.66
13/8/23,54078.258
13/8/26,54010.632
13/8/27,52718.224
13/8/28,53319.344
13/8/29,53484.652
13/8/30,52988.728
13/9/3,53800.24
13/9/4,54205.996
13/9/5,54138.37
13/9/6,53777.698
13/9/9,54431.416
13/9/10,55765.148
13/9/11,56648.046
13/9/12,56858.438
13/9/13,56783.298
13/9/16,56535.336
13/9/17,57136.456
13/9/18,58105.762
13/9/19,57369.39
13/9/20,57196.568
13/9/23,56625.504
13/9/24,57519.67
13/9/25,57361.876
13/9/26,57993.052
13/9/27,58105.762
13/9/30,57973.804
13/10/1,58116.912
13/10/2,58139.508
13/10/3,57898.484
13/10/4,58297.68
13/10/7,57891.7052
13/10/8,56889.196
13/10/9,56685.832
13/10/10,58086.784
13/10/11,58614.024
13/10/14,58824.92
13/10/15,57777.972
13/10/16,58779.728
13/10/17,59303.202
13/10/18,59736.292
13/10/21,59849.272
13/10/22,60933.88
13/10/23,60293.66
13/10/24,59540.46
13/10/25,60225.872
13/10/28,59284.372
13/10/29,59969.784
13/10/30,60881.156
13/10/31,61046.86
13/11/1,60534.684
13/11/4,60534.684
13/11/5,61754.868
13/11/6,61107.116
13/11/7,59555.524
13/11/8,61192.32
13/11/11,61034.064
13/11/12,60751.4625
13/11/13,61389.0096
13/11/14,61147.104
13/11/15,61184.784
13/11/18,60694.944
13/11/19,60227.712
13/11/20,60054.384
13/11/21,61441.008
13/11/22,61305.36
13/11/25,60823.056
13/11/26,61425.936
13/11/27,61508.832
13/11/29,61388.256
13/12/2,61094.352
13/12/3,60702.48
13/12/4,59911.2
13/12/5,60076.992
13/12/6,60242.784
13/12/9,60339.2255
13/12/10,58560.7584
13/12/11,57819.0998
13/12/12,57879.6434
13/12/13,57781.2601
13/12/16,57864.5075
13/12/17,57584.4935
13/12/18,58787.7968
13/12/19,58386.6957
13/12/20,58772.6609
13/12/23,59272.1452
13/12/24,59461.3439
13/12/26,59695.9502
13/12/27,59461.3439
13/12/30,59423.075
13/12/31,59302.035
14/1/2,58379.105
14/1/3,58212.675
14/1/6,57622.605
14/1/7,58409.365
14/1/8,59029.695
14/1/9,58679.89
14/1/10,58732.8229
14/1/13,56804.5533
14/1/14,57061.656
14/1/15,57613.6704
14/1/16,56933.1047
14/1/17,56638.1928
14/1/21,55692.9626
14/1/22,55634.24
14/1/23,55475.501
14/1/24,56677.382
14/1/27,56095.339
14/1/28,55853.451
14/1/29,54092.204
14/1/30,54356.769
14/1/31,53759.608
14/2/3,52134.423
14/2/4,53404.335
14/2/5,53283.391
14/2/6,54696.924
14/2/7,55963.0565
14/2/10,56541.32
14/2/11,56314.55
14/2/12,55868.569
14/2/13,56458.171
14/2/14,56715.177
14/2/18,55913.923
14/2/19,55422.588
14/2/20,55596.445
14/2/21,54848.104
14/2/24,54848.104
14/2/25,53328.745
14/2/26,54258.502
