date,mkt_cap
11/10/5,46450
11/10/6,48240
11/10/7,45660
11/10/10,47360
11/10/11,47640
11/10/12,48820
11/10/13,47370
11/10/14,47650
11/10/17,47740
11/10/18,50370
11/10/19,49650
11/10/20,49690
11/10/21,50290
11/10/24,51220
11/10/25,49480
11/10/26,52380
11/10/27,56610
11/10/28,57040
11/10/31,53930
11/11/1,50970
11/11/2,52250
11/11/3,53010
11/11/4,51710
11/11/7,51970
11/11/8,53460
11/11/9,49070
11/11/10,48990
11/11/11,50050
11/11/14,48880
11/11/15,49110
11/11/16,47070
11/11/17,45470
11/11/18,45250
11/11/21,44950
11/11/22,44010
11/11/23,43270
11/11/25,43690
11/11/28,44690
11/11/29,43720
11/11/30,47190
11/12/1,46490
11/12/2,47880
11/12/5,49140
11/12/6,49800
11/12/7,51760
11/12/8,49190
11/12/9,49950
11/12/12,48260
11/12/13,46790
11/12/14,45910
11/12/15,45240
11/12/16,44360
11/12/19,43180
11/12/20,44790
11/12/21,45290
11/12/22,46480
11/12/23,46170
11/12/27,45240
11/12/28,44370
11/12/29,44810
11/12/30,44520
12/1/3,46290
12/1/4,45990
12/1/5,45920
12/1/6,45350
12/1/9,45970
12/1/10,47740
12/1/11,48430
12/1/12,49130
12/1/13,48040
12/1/17,47420
12/1/18,50640
12/1/19,52280
12/1/20,52790
12/1/23,52520
12/1/24,52850
12/1/25,52560
12/1/26,52700
12/1/27,54260
12/1/30,53270
12/1/31,54120
12/2/1,55080
12/2/2,55050
12/2/3,57060
12/2/6,56990
12/2/7,56300
12/2/8,56390
12/2/9,56260
12/2/10,55400
12/2/13,55600
12/2/14,54790
12/2/15,54940
12/2/16,55700
12/2/17,57360
12/2/21,57720
12/2/22,56600
12/2/23,57310
12/2/24,57340
12/2/27,57520
12/2/28,57960
12/2/29,56980
12/3/1,59950
12/3/2,59370
12/3/5,58710
12/3/6,56260
12/3/7,57610
12/3/8,57990
12/3/9,58050
12/3/12,57900
12/3/13,61640
12/3/14,59570
12/3/15,60900
12/3/16,60840
12/3/19,61520
12/3/20,62370
12/3/21,62350
12/3/22,61730
12/3/23,62450
12/3/26,63410
12/3/27,62550
12/3/28,62570
12/3/29,61280
12/3/30,61580
12/4/2,61850
12/4/3,60770
12/4/4,59410
12/4/5,58430
12/4/9,57950
12/4/10,56730
12/4/11,57410
12/4/12,59620
12/4/13,56990
12/4/16,58300
12/4/17,57870
12/4/18,57110
12/4/19,56260
12/4/20,55680
12/4/23,55340
12/4/24,56510
12/4/25,56440
12/4/26,56730
12/4/27,56280
12/4/30,56640
12/5/1,56730
12/5/2,55960
12/5/3,54860
12/5/4,53610
12/5/7,54130
12/5/8,53800
12/5/9,52770
12/5/10,52300
12/5/11,50240
12/5/14,49070
12/5/15,49120
12/5/16,48300
12/5/17,47750
12/5/18,46970
12/5/21,47470
12/5/22,47970
12/5/23,47970
12/5/24,47640
12/5/25,47560
12/5/29,48140
12/5/30,46540
12/5/31,47070
12/6/1,45570
12/6/4,44760
12/6/5,45360
12/6/6,46710
12/6/7,46240
12/6/8,46500
12/6/11,45646.1949
12/6/12,46256.1225
12/6/13,45606.8447
12/6/14,46147.9095
12/6/15,47052.9634
12/6/18,46054.4529
12/6/19,47402.1961
12/6/20,47490.734
12/6/21,46187.2597
12/6/22,46054.4529
12/6/25,44869.0291
12/6/26,44775.5724
12/6/27,45877.3771
12/6/28,45985.5901
12/6/29,47151.3388
12/7/2,46718.6461
12/7/3,47425.7027
12/7/5,46136.6471
12/7/6,45920.2012
12/7/9,45439.2103
12/7/10,45333.3923
12/7/11,45756.6643
12/7/12,45222.7644
12/7/13,46862.9434
12/7/16,46983.1911
12/7/17,47127.4884
12/7/18,46420.4318
12/7/19,45694.1355
12/7/20,45290.1031
12/7/23,44809.1122
12/7/24,45439.2103
12/7/25,46155.8868
12/7/26,47165.9677
12/7/27,48727.9032
12/7/30,48363.5466
12/7/31,48373.1349
12/8/1,47984.8075
12/8/2,46891.7376
12/8/3,48411.4883
12/8/6,48910.0815
12/8/7,49494.9698
12/8/8,49140.2015
12/8/9,49667.5598
12/8/10,49389.4981
12/8/13,49672.3539
12/8/14,49504.5581
12/8/15,49442.234
12/8/16,49614.8239
12/8/17,49667.5598
12/8/20,50472.9796
12/8/21,50492.1563
12/8/22,50180.5355
12/8/23,49897.6797
12/8/24,50319.5663
12/8/27,50396.273
12/8/28,50353.1255
